uid	pubdate	authors	title	fulljournalname	elocationid
38792963	2024 May 8	"Xu H, Wang X, Zhu F, Guo S, Chao Z, Cao C, Lu Z, Zhu H, Wang M, Zhu F, Yang J, Zeng R, Yao Y"	Comprehensive Pan-Cancer Analysis of Connexin 43 as a Potential Biomarker and Therapeutic Target in Human Kidney Renal Clear Cell Carcinoma (KIRC).	"Medicina (Kaunas, Lithuania)"	doi: 10.3390/medicina60050780
38790003	2024 May 24	"Zhang C, Wang Y, Guo X, Wang Z, Xiao J, Liu Z"	SLC7A5 correlated with malignancies and immunotherapy response in bladder cancer.	Cancer cell international	doi: 10.1186/s12935-024-03365-7
38787485	2024 May 24	"Yang J, Liu Y, Geng Q, Wang B"	Death associated protein kinase 1 predicts the prognosis and the immunotherapy response of various cancers.	Molecular biology reports	doi: 10.1007/s11033-024-09240-y
38787377	2024 May 22	"Li G, Li Q, Ping M, Jiao Z, Wang X, Cheng J, Guo J, Cheng Y"	SLAMF8 can predict prognosis of pan-cancer and the immunotherapy response effectivity of gastric cancer.	Aging	doi: 10.18632/aging.205850
38787365	2024 May 23	"Xiao H, Cui X, Liu L, Lv B, Zhang R, Zheng T, Yao D, Gao H, Gu X, Li Y, Tian Y"	Identification and validation of lipid metabolism-related key genes as novel biomarkers in acute myocardial infarction and pan-cancer analysis.	Aging	doi: 10.18632/aging.205860
38783997	2024 Jun 21	"Hakobyan A, Meyenberg M, Vardazaryan N, Hancock J, Vulliard L, Loizou JI, Menche J"	Pan-cancer analysis of the interplay between mutational signatures and cellular signaling.	iScience	doi: 10.1016/j.isci.2024.109873
38782354	2024 Jul 15	"Xu Z, Zhang L, Wang X, Pan B, Zhu M, Wang T, Xu W, Li L, Wei Y, Wu J, Zhou X"	Construction of a TAN-associated risk score model with integrated multi-omics data analysis and clinical validation in gastric cancer.	Life sciences	doi: 10.1016/j.lfs.2024.122731
38774870	2024	"Zhang Z, Li Y, Quan Z, Li Y, Zhu L, Sun S, Chen X"	Constructing immune and prognostic features associated with ADCP in hepatocellular carcinoma and pan-cancer based on scRNA-seq and bulk RNA-seq.	Frontiers in immunology	doi: 10.3389/fimmu.2024.1397541
38774095	2024 May 15	"Bai Y, Li L, Li J, Lu X"	Association analysis of FXYD5 with prognosis and immunological characteristics across pan-cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e30727
38773508	2024 May 21	"Liu H, Sima X, Xiao B, Gulizeba H, Zhao S, Zhou T, Huang Y"	Integrated analysis of single-cell and bulk RNA sequencing data reveals a myeloid cell-related regulon predicting neoadjuvant immunotherapy response across cancers.	Journal of translational medicine	doi: 10.1186/s12967-024-05123-9
38773440	2024 May 21	"Lin J, Liu P, Sun K, Jiang L, Liu Y, Huang Y, Liu J, Shi M, Zhang J, Wang T, Shen B"	Comprehensive analysis of KLF family reveals KLF6 as a promising prognostic and immune biomarker in pancreatic ductal adenocarcinoma.	Cancer cell international	doi: 10.1186/s12935-024-03369-3
38770717	2024 Mar 27	"Li K, Yang H, Lin A, Xie J, Wang H, Zhou J, Carr SR, Liu Z, Li X, Zhang J, Cheng Q, Schrump DS, Luo P, Wei T"	CPADS: a web tool for comprehensive pancancer analysis of drug sensitivity.	Briefings in bioinformatics	doi: 10.1093/bib/bbae237
38769286	2024 May 20	"Zheng SS, Wu JF, Wu WX, Hu JW, Zhang D, Huang C, Zhang BH"	CBX1 is involved in hepatocellular carcinoma progression and resistance to sorafenib and lenvatinib via IGF-1R/AKT/SNAIL signaling pathway.	Hepatology international	doi: 10.1007/s12072-024-10696-0
38769225	2024 May 20	"Jin WM, Zhu Y, Cai ZQ, He N, Yu ZQ, Li S, Yang JY"	Progress of Clinical Studies Targeting Claudin18.2 for the Treatment of Gastric Cancer.	Digestive diseases and sciences	doi: 10.1007/s10620-024-08435-4
38758950	2024 May 17	"Wang Y, Guo E, Zou M, Lv C, Cui Y, Zhai S, Sang S, Xiong K, Yang X, Zhuang S, Gu Y, Liang H"	Unraveling Immune Heterogeneity across Pan-Cancer and Deep Insights in Lung Adenocarcinoma based on Alternative Splicing.	Journal of leukocyte biology	pii: qiae104. doi: 10.1093/jleuko/qiae104
38756529	2024	"Zhu Z, Zhang W, Huo S, Huang T, Cao X, Zhang Y"	"TUBB, a robust biomarker with satisfying abilities in diagnosis, prognosis, and immune regulation via a comprehensive pan-cancer analysis."	Frontiers in molecular biosciences	doi: 10.3389/fmolb.2024.1365655
38751492	2024	"Xu H, Zhang H, Sun S, Zhang J, Huo J, Zhou C"	Integrated Analysis of CD1A Immune Infiltration and Competing Endogenous RNA Networks in COAD.	International journal of general medicine	doi: 10.2147/IJGM.S455546
38750988	2024 Sep 15	"Li P, Wang C, Chen G, Han Y, Lu H, Li N, Lv Y, Chu C, Peng X"	Molecular mechanisms of Tetrastigma hemsleyanum Diels&Gilg against lung squamous cell carcinoma: From computational biology and experimental validation.	Journal of ethnopharmacology	doi: 10.1016/j.jep.2024.118326
38748299	2024 May 15	"Zhao W, Liang Z, Yao Y, Ge Y, An G, Duan L, Yao J"	GGT5: a potential immunotherapy response inhibitor in gastric cancer by modulating GSH metabolism and sustaining memory CD8+ T cell infiltration.	"Cancer immunology, immunotherapy : CII"	doi: 10.1007/s00262-024-03716-3
38745241	2024 May 14	"Zhao Z, Wang R, Wang R, Song J, Ma F, Pan H, Gao C, Wang D, Chen X, Fan X"	Correction: Pancancer analysis of the prognostic and immunological role of FANCD2: a potential target for carcinogenesis and survival.	BMC medical genomics	doi: 10.1186/s12920-024-01896-6
38744958	2024 May 14	"Kang J, Lee JH, Cha H, An J, Kwon J, Lee S, Kim S, Baykan MY, Kim SY, An D, Kwon AY, An HJ, Lee SH, Choi JK, Park JE"	Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types.	Nature communications	doi: 10.1038/s41467-024-48310-4
38743077	2024 May 14	"Zhang J, Yang J, Li X, Mao L, Zhang Y, Liu Y, Bao Y"	EMP1 correlated with cancer progression and immune characteristics in pan-cancer and ovarian cancer.	Molecular genetics and genomics : MGG	doi: 10.1007/s00438-024-02146-1
38742949	2024 May 13	"Liu L, Sun J, Zhong C, Zhang A, Wang G, Chen S, Zhang S, Wang M, Li L"	Identification of a fatty acid metabolism-related gene signature to predict prognosis in stomach adenocarcinoma.	Aging	doi: 10.18632/aging.205823
38741920	2024	"González-Cao M, Cai X, Bracht JWP, Han X, Yang Y, Pedraz-Valdunciel C, Morán T, García-Corbacho J, Aguilar A, Bernabé R, De Marchi P, Sussuchi da Silva L, Leal LF, Reis RM, Codony-Servat J, Jantus-Lewintre E, Molina-Vila MA, Cao P, Rosell R"	HMGB1 Expression Levels Correlate with Response to Immunotherapy in Non-Small Cell Lung Cancer.	"Lung Cancer (Auckland, N.Z.)"	doi: 10.2147/LCTT.S455034
38739269	2024 Jul	"Liu M, Yang M, Zhang B, Xia S, Zhao J, Yan L, Ren Y, Guo H, Zhao J"	PCDH11X mutation as a potential biomarker for immune checkpoint therapies in lung adenocarcinoma.	"Journal of molecular medicine (Berlin, Germany)"	doi: 10.1007/s00109-024-02450-8
38737693	2024 Apr 30	"Su X, Liu J, Tu Z, Ji Q, Li J, Liu F"	DNMT3A promotes glioma growth and malignancy via TNF-α/NF-κB signaling pathway.	Translational cancer research	doi: 10.21037/tcr-23-1943
38737690	2024 Apr 30	"Li C, Huang Y, Yi X, Tang Y, Okita R, He J"	Pan-cancer prognostic model and immune microenvironment analysis of natural killer cell-related genes.	Translational cancer research	doi: 10.21037/tcr-24-434
38737683	2024 Apr 30	"Xiao HN, Zhao ZY, Li JP, Li AY"	Comprehensive pan-cancer analysis: essential role of ABCB family genes in cancer.	Translational cancer research	doi: 10.21037/tcr-23-2050
38730491	2024 May 10	"Hu T, Cheng B, Matsunaga A, Zhang T, Lu X, Fang H, Mori SF, Fang X, Wang G, Xu H, Shi H, Cowell JK"	Single-cell analysis defines highly specific leukemia-induced neutrophils and links MMP8 expression to recruitment of tumor associated neutrophils during FGFR1 driven leukemogenesis.	Experimental hematology & oncology	doi: 10.1186/s40164-024-00514-6
38728250	2024 May 7	"Zeng J, Li X, Zhang Y, Zhang B, Wang H, Bao S, Zu L, Zhang H, Cheng Y, Tang Q, Xu X, Xu S, Song Z"	GJB3: a comprehensive biomarker in pan-cancer prognosis and immunotherapy prediction.	Aging	doi: 10.18632/aging.205774
38720365	2024 May 8	"Chen Y, Li D, Sha K, Zhang X, Liu T"	Human pan-cancer analysis of the predictive biomarker for the CDKN3.	European journal of medical research	doi: 10.1186/s40001-024-01869-6
38720348	2024 May 8	"Zeng L, Zhang L, Yin C, Chen X, Chen X, Sun L, Sun J"	"Characterization of zinc finger protein 536, a neuroendocrine regulator, using pan-cancer analysis."	European journal of medical research	doi: 10.1186/s40001-024-01792-w
38720108	2024 May 8	"Liang H, Zheng Y, Huang Z, Dai J, Yao L, Xie D, Chen D, Qiu H, Wang H, Li H, Leng J, Tang Z, Zhang D, Zhou H"	Pan-cancer analysis for the prognostic and immunological role of CD47: interact with TNFRSF9 inducing CD8�? T cell exhaustion.	Discover oncology	doi: 10.1007/s12672-024-00951-z
38718659	2024 Jun 15	"Ur Rehman A, Wang Z, Qin Q, Zhang X, Akhtar A, Liu H, Mao B, Khan N, Tang L, Li X"	Enhancing antitumor immunity and achieving tumor eradication with IL11RA mRNA immunotherapy.	International immunopharmacology	doi: 10.1016/j.intimp.2024.112205
38718436	2024 Jul	"Liu S, Wang Z, Hu L, Ye C, Zhang X, Zhu Z, Li J, Shen Q"	Pan-cancer analysis of super-enhancer-induced LINC00862 and validation as a SIRT1-promoting factor in cervical cancer and gastric cancer.	Translational oncology	doi: 10.1016/j.tranon.2024.101982
38715380	2024 May	"Yan G, Li G, Gao X, Liu J, Li Y, Li J, Zhou H"	GTSE1: A potential prognostic and diagnostic biomarker in various tumors including lung adenocarcinoma.	The clinical respiratory journal	doi: 10.1111/crj.13757
38714870	2024 May 7	"Yan B, Liao P, Liu S, Lei P"	Comprehensive pan-cancer analysis of inflammatory age-clock-related genes as prognostic and immunity markers based on multi-omics data.	Scientific reports	doi: 10.1038/s41598-024-61381-z
38714579	2024 May 7	"Feng JL, Liang B, Zheng WJ, Xu L, Zhou QY, Chen J"	Integrative analysis of single-cell and bulk RNA sequencing unveils a machine learning-based pan-cancer major histocompatibility complex-related signature for predicting immunotherapy efficacy.	"Cancer immunology, immunotherapy : CII"	doi: 10.1007/s00262-024-03714-5
38713157	2024 May 6	"Li C, Gao M, Zha N, Guo G"	The prognostic value and immunological role of MVP in pan-cancer study.	Aging	doi: 10.18632/aging.205802
38711550	2024 Jul	"Ahmadi M, Mohajeri Khorasani A, Morshedzadeh F, Saffarzadeh N, Ghaderian SMH, Ghafouri-Fard S, Mousavi P"	"HLF is a promising prognostic, immunological, and therapeutic biomarker in human tumors."	Biochemistry and biophysics reports	doi: 10.1016/j.bbrep.2024.101725
38711549	2024 Jul	"Chen X, Li R, Yin YH, Liu X, Zhou XJ, Qu YQ"	"Pan-cancer prognosis, immune infiltration, and drug resistance characterization of lung squamous cell carcinoma tumor microenvironment-related genes."	Biochemistry and biophysics reports	doi: 10.1016/j.bbrep.2024.101722
38709075	2024 May 30	"Miller CD, Lozada JR, Zorko NA, Elliott A, Makovec A, Radovich M, Heath EI, Agarwal N, Mckay RR, Garje R, Bastos BR, Hoon DSB, Orme JJ, Sartor O, VanderWalde A, Nabhan C, Sledge G, Shenderov E, Dehm SM, Lou E, Miller JS, Hwang JH, Antonarakis ES"	Pan-Cancer Interrogation of B7-H3 (CD276) as an Actionable Therapeutic Target Across Human Malignancies.	Cancer research communications	doi: 10.1158/2767-9764.CRC-23-0546
38707440	2024 May 15	"Song J, Guo W, Xu H, Gao T"	CDC73 serves as a tumour-promoting factor in oesophageal cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e29904
38706595	2024	"Lechner A, Kumbrink J, Walz C, Jung A, Baumeister P, Flach S"	Molecular characterization of the evolution of premalignant lesions in the upper aerodigestive tract.	Frontiers in oncology	doi: 10.3389/fonc.2024.1364958
38702309	2024 May 3	"Shaw TI, Wagner J, Tian L, Wickman E, Poudel S, Wang J, Paul R, Koo SC, Lu M, Sheppard H, Fan Y, O'Neill FH, Lau CC, Zhou X, Zhang J, Gottschalk S"	Discovery of immunotherapy targets for pediatric solid and brain tumors by exon-level expression.	Nature communications	doi: 10.1038/s41467-024-47649-y
38700505	2024 May 2	"Ouyang W, Liu Y, Huang H, Tan Y, Huang Z, Jia X, Yu Y, Yao H"	Unraveling the unfolded protein response signature: implications for tumor immune microenvironment heterogeneity and clinical prognosis in stomach cancer.	Aging	doi: 10.18632/aging.205784
38698857	2024	"Yuan Z, Li B, Liao W, Kang D, Deng X, Tang H, Xie J, Hu D, Chen A"	Comprehensive pan-cancer analysis of YBX family reveals YBX2 as a potential biomarker in liver cancer.	Frontiers in immunology	doi: 10.3389/fimmu.2024.1382520
38698811	2024	"Huang QR, Jiang Q, Tan JY, Nong RB, Yan J, Yang XW, Mo LG, Ling GY, Deng T, Gong YZ"	The prognostic and immunological role of MCM3 in pan-cancer and validation of prognosis in a clinical lower-grade glioma cohort.	Frontiers in pharmacology	doi: 10.3389/fphar.2024.1390615
38698126	2024 Jun	"Chen X, Yang W, Roberts CWM, Zhang J"	Developmental origins shape the paediatric cancer genome.	Nature reviews. Cancer	doi: 10.1038/s41568-024-00684-9
38697449	2024 Aug	"Xue S, Cai Y, Liu J, Ji K, Yi P, Long H, Zhang X, Li P, Song Y"	Dysregulation of phosphoenolpyruvate carboxykinase in cancers: A comprehensive analysis.	Cellular signalling	doi: 10.1016/j.cellsig.2024.111198
38696320	2024 May 1	"Chen X, Wang S, Jiang X, Zhang M, Ding Y"	Long non-coding RNA HOTAIR: from pan-cancer analysis to colorectal cancer-related uridine metabolism.	Aging	doi: 10.18632/aging.205781
38691253	2024 May 1	"Chen B, Liu Y, He Y, Shen C"	Pan-cancer analysis of prognostic and immunological role of IL4I1 in human tumors: a bulk omics research and single cell sequencing validation.	Discover oncology	doi: 10.1007/s12672-024-01000-5
38689995	2024 Apr 15	"Zhang C, Tan H, Xu H, Ding J, Chen H, Liu X, Sun F"	"Pan-cancer identified ARPC1B as a promising target for tumor immunotherapy and prognostic biomarker, particularly in READ."	Heliyon	doi: 10.1016/j.heliyon.2024.e28005
38688977	2024 Apr 30	"Liu XS, Chen YL, Chen YX, Wu RM, Tan F, Wang YL, Liu ZY, Gao Y, Pei ZJ"	"Pan-cancer analysis reveals correlation between RAB3B expression and tumor heterogeneity, immune microenvironment, and prognosis in multiple cancers."	Scientific reports	doi: 10.1038/s41598-024-60581-x
38688048	2024 Jul	"Li Z, Lu W, Yin F, Huang A"	YBX1 as a prognostic biomarker and potential therapeutic target in hepatocellular carcinoma: A comprehensive investigation through bioinformatics analysis and in vitro study.	Translational oncology	doi: 10.1016/j.tranon.2024.101965
38687460	2024 Jun	"Liang T, Zhou X, Wang Y, Ma W"	Glioma hexokinase 3 positively correlates with malignancy and macrophage infiltration.	Metabolic brain disease	doi: 10.1007/s11011-023-01333-0
38685772	2024 Apr 29	"Liu J, Li H, Zhang N, Dong Q, Liang Z"	Multiomics Analysis of Disulfidptosis Patterns and Integrated Machine Learning to Predict Immunotherapy Response in Lung Adenocarcinoma.	Current medicinal chemistry	doi: 10.2174/0109298673313281240425050032
38684762	2024 Apr 29	"Chang H, Chen H, Ma T, Ma K, Li Y, Suo L, Liang X, Jia K, Ma J, Li J, Sun D"	Multi-omics pan-cancer study of SPTBN2 and its value as a potential therapeutic target in pancreatic cancer.	Scientific reports	doi: 10.1038/s41598-024-60780-6
38684596	2024 Apr 29	"Liang X, Huang X, Cai Z, Deng Y, Liu D, Hu J, Jin Z, Zhou X, Zhou H, Wang L"	The S100 family is a prognostic biomarker and correlated with immune cell infiltration in pan-cancer.	Discover oncology	doi: 10.1007/s12672-024-00945-x
38682182	2024 Apr 12	"Chen Y, Xiao C, Fan Q, Zhang Y, Huang Q, Ou Y"	"Multi-Omics Pan-Cancer Analysis of Procollagen N-Propeptidase Gene Family of ADAMTS as Novel Biomarkers to Associate with Prognosis, Tumor Immune Microenvironment, Signaling Pathways, and Drug Sensitivities."	Frontiers in bioscience (Landmark edition)	doi: 10.31083/j.fbl2904151
38678604	2024 Apr 28	"Liu H, Cui Z, Wang R, Wang L, Wang L, Cheng F, Pan R, Yang X"	"Characterization of the prognostic, diagnostic, and immunological roles of DSCC1 and its genomic alteration and instability in human cancers."	"Cellular and molecular biology (Noisy-le-Grand, France)"	doi: 10.14715/cmb/2024.70.4.32
38678596	2024 Apr 28	"Zheng R, Yao B, Ye Y, Luo R, Wu Z, Hu X, Yuan Y, Pan X, Liu C, Huang L, Luo Y, Yang D, Shang N, Tian Y, Jia J"	"MAL, a potential immunotherapy target, is associated with poor prognosis in cancer patients."	"Cellular and molecular biology (Noisy-le-Grand, France)"	doi: 10.14715/cmb/2024.70.4.39
38678297	2024 Apr 27	"Bai J, Zhao Y, Shi K, Fan Y, Ha Y, Chen Y, Luo B, Lu Y, Jie W, Shen Z"	HIF-1α-mediated LAMC1 overexpression is an unfavorable predictor of prognosis for glioma patients: evidence from pan-cancer analysis and validation experiments.	Journal of translational medicine	doi: 10.1186/s12967-024-05218-3
38674408	2024 Apr 9	"Kadhim DJ, Azari H, Sokhangouy SK, Hassanian SM, Alshekarchi HI, Goshayeshi L, Goshayeshi L, Abbaszadegan MR, Khojasteh-Leylakoohi F, Khazaei M, Gataa IS, Peters GJ, A Ferns G, Batra J, Lam AK, Giovannetti E, Avan A"	G-Protein Signaling Modulator 2 as a Potential Biomarker in Colorectal Cancer: Integrative Analysis Using Genetic Profiling and Pan-Cancer Studies.	Genes	doi: 10.3390/genes15040474
38671021	2024 Apr 26	"Yang L, Tang Y, Zhang Y, Wang Y, Jiang P, Liu F, Feng N"	"Comprehensiveness cuproptosis related genes study for prognosis and medication sensitiveness across cancers, and validation in prostate cancer."	Scientific reports	doi: 10.1038/s41598-024-57303-8
38664705	2024 Apr 25	"Chen D, Liu P, Lu X, Li J, Qi D, Zang L, Lin J, Liu Y, Zhai S, Fu D, Weng Y, Li H, Shen B"	Pan-cancer analysis implicates novel insights of lactate metabolism into immunotherapy response prediction and survival prognostication.	Journal of experimental & clinical cancer research : CR	doi: 10.1186/s13046-024-03042-7
38663913	2024 Apr 25	"Liu Y, Huang H, Yang X, Huang D, Wang X, Yuan M, Hong L"	Comprehensive bioinformatics analysis of NOX4 as a biomarker for pan-cancer prognosis and immune infiltration.	Aging	doi: 10.18632/aging.205769
38659266	2024 Apr 24	"Li Z, Zhou S, Bin T, Shi Y, Zeng L, Li B, Li J, He Y, Zhang C"	"NIFK, a Potential Prognostic and Immunological Biomarker in Pan-- Cancer Analysis, Significantly Regulates Proliferation and Metastasis of Colorectal Cancer."	Recent patents on anti-cancer drug discovery	doi: 10.2174/0115748928295346240406185103
38658471	2024 Apr 24	"Zhang H, Zhang X, Zhang Y, Han D, Ha H, Zhang B, Shang P"	Pan-Cancer Analysis Shows that KIFC2 is a Potential Prognostic and Immunotherapeutic Biomarker for Multiple Cancer Types Including Bladder Cancer.	Molecular biotechnology	doi: 10.1007/s12033-024-01149-y
38657187	2024 Jul 10	"Klümper N, Tran NK, Zschäbitz S, Hahn O, Büttner T, Roghmann F, Bolenz C, Zengerling F, Schwab C, Nagy D, Toma M, Kristiansen G, Heers H, Ivanyi P, Niegisch G, Grunewald CM, Darr C, Farid A, Schlack K, Abbas M, Aydogdu C, Casuscelli J, Mokry T, Mayr M, Niedersüß-Beke D, Rausch S, Dietrich D, Saal J, Ellinger J, Ritter M, Alajati A, Kuppe C, Meeks J, Vera Badillo FE, Nakauma-González JA, Boormans J, Junker K"	NECTIN4 Amplification Is Frequent in Solid Tumors and Predicts Enfortumab Vedotin Response in Metastatic Urothelial Cancer.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	doi: 10.1200/JCO.23.01983
38655365	2024 Apr 30	"Liu Y, Li X, Yang J, Chen S, Zhu C, Shi Y, Dang S, Zhang W, Li W"	Pan-cancer analysis of SLC2A family genes as prognostic biomarkers and therapeutic targets.	Heliyon	doi: 10.1016/j.heliyon.2024.e29655
38655053	2024	"Tian X, Hu D, Wang N, Zhang L, Wang X"	LINC01614 is a promising diagnostic and prognostic marker in HNSC linked to the tumor microenvironment and oncogenic function.	Frontiers in genetics	doi: 10.3389/fgene.2024.1337525
38649557	2024 Apr 22	"Zhou Y, Wei X, Jia L, Li W, Zhang S, Zhao Y"	Pan-Cancer Analysis of the Prognostic and Immunological Role of TOMM40 to Identify Its Function in Breast Cancer.	Biochemical genetics	doi: 10.1007/s10528-024-10794-6
38647237	2024 Apr	"Ma C, Gu Z, Yang Y"	"Development of m6A/m5C/m1A regulated lncRNA signature for prognostic prediction, personalized immune intervention and drug selection in LUAD."	Journal of cellular and molecular medicine	doi: 10.1111/jcmm.18282
38644836	2024 Apr 30	"Zhao G, Wang Y, Zhou J, Ma P, Wang S, Li N"	Pan-cancer analysis of polo-like kinase family genes reveals polo-like kinase 1 as a novel oncogene in kidney renal papillary cell carcinoma.	Heliyon	doi: 10.1016/j.heliyon.2024.e29373
38642258	2024 Apr 20	"Wu Z, Pan T, Li W, Zhang YH, Guo SH, Liu Y, Zhang L, Wang ZY"	Comprehensive pan-cancer analysis reveals prognostic implications of TMEM92 in the tumor immune microenvironment.	Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico	doi: 10.1007/s12094-024-03477-6
38642129	2024 Apr 20	"Pham VVH, Jue TR, Bell JL, Luciani F, Michniewicz F, Cirillo G, Vahdat L, Mayoh C, Vittorio O"	A novel network-based method identifies a cuproplasia-related pan-cancer gene signature to predict patient outcome.	Human genetics	doi: 10.1007/s00439-024-02673-2
38640328	2024 Apr 19	"Shen X, Yan Z, Huang Y, Zhu Q, Zhang G, Ci H, Wu Q, Wu L"	ALDH2 as an immunological and prognostic biomarker: Insights from pan-cancer analysis.	Medicine	doi: 10.1097/MD.0000000000037820
38639949	2023 Dec	"Yan ZC, Liu TH, Yu SB, Zhan YH, Wang ZY, Zhu ZW, Reng YL, Shang XJ, Zhang XP"	[Expression and significance analysis of GDF3 in testicular cancer based on TCGA and GTEx databases].	Zhonghua nan ke xue = National journal of andrology	
38637116	2024 Apr 16	"Jia Y, Chen X, Guo H, Zhang B, Liu B"	Comprehensive characterization of β-alanine metabolism-related genes in HCC identified a novel prognostic signature related to clinical outcomes.	Aging	doi: 10.18632/aging.205744
38636303	2024 Jun 18	"Shukla D, Mandal T, Srivastava AK"	Neil 1 deficiency facilitates chemoresistance through upregulation of RAD18 expression in ovarian cancer stem cells.	Biochemical and biophysical research communications	doi: 10.1016/j.bbrc.2024.149907
38635758	2024	"Wang Y, Chen R, Zhang J, Zeng P"	A comprehensive analysis of ribonucleotide reductase subunit M2 for carcinogenesis in pan-cancer.	PloS one	doi: 10.1371/journal.pone.0299949
38633624	2024 Apr 15	"Deng Z, Liu Y, Zhou H"	Distinct roles of CD244 expression in cancer diagnosis and prognosis: A pan-cancer analysis.	Heliyon	doi: 10.1016/j.heliyon.2024.e28928
38629358	2024 Apr 16	"He H, Yuan F, Li Y, Pi G, Shi H, Li Y, Han G"	Comprehensive Analysis and Experimental Validation of FOXD2 as a Novel Potential Prognostic Biomarker Associated with Immune Infiltration in Head and Neck Squamous Cell Carcinoma.	Current computer-aided drug design	doi: 10.2174/0115734099302492240405065505
38627900	2024 Apr	"Han X, Song D, Cui Y, Shi Y, Gu X"	Pan-cancer analyses of immunogenic cell death-derived gene signatures: Potential biomarkers for prognosis and immunotherapy.	"Cancer reports (Hoboken, N.J.)"	doi: 10.1002/cnr2.2073
38627863	2024 Apr 16	"Liu Y, Peng B, Chen Z, Shen Y, Zhang J, Yuan X"	Pan-cancer transcriptional atlas of minimal residual disease links DUSP1 to chemotherapy persistence.	Experimental hematology & oncology	doi: 10.1186/s40164-024-00509-3
38619631	2024 Apr 15	"Zhang X, Hou J, Zhou G, Wang H, Wu Z"	zDHHC3-mediated S-palmitoylation of SLC9A2 regulates apoptosis in kidney clear cell carcinoma.	Journal of cancer research and clinical oncology	doi: 10.1007/s00432-024-05737-y
38618458	2024 Mar	"Eletr LF, Ibnouf SH, Salih TA, Ibrahim HI, Mustafa MI, Alhashmi NA, Alfaki M"	Comprehensive Analysis Reveals Deoxyribonuclease 1 as a Potential Prognostic and Diagnostic Biomarker in Human Cancers.	Cureus	doi: 10.7759/cureus.56171
38617932	2024 Apr 15	"Li Q, Li F, Song X, Lu N, Jing X, Wen H, Ma P, Zhang H, Yao W, Wang X, Zhang M"	Pan-cancer analysis of ARFs family and ARF5 promoted the progression of hepatocellular carcinoma.	Heliyon	doi: 10.1016/j.heliyon.2024.e29099
38617518	2024 Mar 31	"Tao L, Xu X, Fang Z, Christopoulos P, Cortinovis D, Lu Y"	"RAC1 as a potential pan-cancer diagnostic, prognostic, and immunological biomarker."	Translational cancer research	doi: 10.21037/tcr-23-2016
38617516	2024 Mar 31	"Liu X, Cui Q, Qin N"	Low expression of KLRB1 predicts poor survival outcomes and is associated with immune infiltration in breast cancer.	Translational cancer research	doi: 10.21037/tcr-23-1231
38617504	2024 Mar 31	"Ma Y, Fang F, Liao K, Zhang J, Wei C, Liao Y, Zhao B, Fang Y, Chen Y, Zhang X, Tang D"	Identification and validation of the clinical prediction model and biomarkers based on chromatin regulators in colon cancer by integrated analysis of bulk- and single-cell RNA sequencing data.	Translational cancer research	doi: 10.21037/tcr-23-1886
38613793	2024 Apr 12	"Zhang Z, Wang P, Chen S, Xiang D, Chen J, Huang W, Liu X, Yi T, Wang D, Pu Y, He L, Zhang H"	NXPH4 can be used as a biomarker for pan-cancer and promotes colon cancer progression.	Aging	doi: 10.18632/aging.205648
38609450	2024 Apr 13	"Yang K, Ma Y, Chen W, Liu L, Yang Z, He C, Zheng N, Liu X, Cheng X, Song J, Chen Y, Qiao H, Zhang R"	"CCDC58 is a potential biomarker for diagnosis, prognosis, immunity, and genomic heterogeneity in pan-cancer."	Scientific reports	doi: 10.1038/s41598-024-59154-9
38608058	2024 Apr 12	"Wang Y, Li C, Jiang T, Yin Y, Wang Y, Zhao H, Yu L"	A comprehensive exploration of twist1 to identify a biomarker for tumor immunity and prognosis in pan-cancer.	Medicine	doi: 10.1097/MD.0000000000037790
38605349	2024 Apr 11	"Huang Y, Chen D, Bai Y, Zhang Y, Zheng Z, Fu Q, Yi B, Jiang Y, Zhang Z, Zhu J"	ESCO2's oncogenic role in human tumors: a pan-cancer analysis and experimental validation.	BMC cancer	doi: 10.1186/s12885-024-12213-w
38605119	2024 Apr 11	"Xia F, Yang H, Wu H, Zhao B"	Spindle component 25 predicts the prognosis and the immunotherapy response of cancers: a pan-cancer analysis.	Scientific reports	doi: 10.1038/s41598-024-59038-y
38601662	2024 Apr 15	"Xiong H, Chen Z, Li Y, Wu Z, Qian D, Chen L, Li Q, Liu H, Chen W, Lin B, Jia Y, Wang C"	Pan-cancer analysis of the prognostic and immunological role of FKBP4.	Heliyon	doi: 10.1016/j.heliyon.2024.e29098
38601619	2024 Apr 15	"Deng X, Luo Y, Lu M, Lin Y, Ma L"	Identification of GMFG as a novel biomarker in IgA nephropathy based on comprehensive bioinformatics analysis.	Heliyon	doi: 10.1016/j.heliyon.2024.e28997
38600469	2024 Apr 10	"Wang H, Zhang X, Zhang Y, Shi T, Zhang Y, Song X, Liu B, Wang Y, Wei J"	Targeting PCSK9 to upregulate MHC-II on the surface of tumor cells in tumor immunotherapy.	BMC cancer	doi: 10.1186/s12885-024-12148-2
